date,open,high,low,close,volume
2021-04-14,3397.021,3420.028,3392.975,3416.721,23324232700
2021-04-15,3409.614,3409.614,3373.094,3398.988,23400505400
2021-04-16,3407.188,3432.629,3394.134,3426.618,25857967200
2021-04-19,3427.548,3479.01,3414.356,3477.549,30273581900
2021-04-20,3467.148,3494.298,3463.464,3472.943,28530008200
2021-04-21,3456.299,3481.251,3450.111,3472.93,25377785900
2021-04-22,3482.833,3485.359,3456.316,3465.114,25111451000
2021-04-23,3462.086,3482.359,3456.333,3474.166,24936043300
2021-04-26,3484.107,3497.121,3438.572,3441.166,27697077100
2021-04-27,3440.091,3443.854,3417.265,3442.611,25303239300
2021-04-28,3432.161,3457.068,3423.325,3457.068,24738112000
2021-04-29,3458.082,3478.228,3447.588,3474.901,27663138700
2021-04-30,3468.302,3469.087,3426.902,3446.856,31266035400
2021-05-06,3446.074,3471.24,3426.849,3441.283,31042419200
2021-05-07,3446.407,3457.892,3416.776,3418.874,35378538900
2021-05-10,3423.59,3429.736,3401.935,3427.991,37417088400
2021-05-11,3406.598,3448.096,3384.697,3441.845,35093411200
2021-05-12,3429.754,3466.371,3428.394,3462.751,31144454700
2021-05-13,3432.138,3448.017,3418.385,3429.536,31932532700
2021-05-14,3436.092,3490.644,3422.565,3490.376,33698230900
2021-05-17,3490.409,3530.506,3490.144,3517.616,32213596900
2021-05-18,3520.649,3529.014,3510.862,3529.014,27130855800
2021-05-19,3521.11,3521.11,3503.815,3510.965,27832111700
2021-05-20,3500.877,3517.74,3486.066,3506.944,32600933300
2021-05-21,3510.835,3518.377,3479.674,3486.557,28382628500
2021-05-24,3486.271,3498.304,3469.875,3497.282,28950924200
2021-05-25,3502.539,3584.577,3502.443,3581.342,34124112700
2021-05-26,3586.839,3603.488,3585.37,3593.357,34198028800
2021-05-27,3585.734,3626.358,3579.26,3608.851,30955148600
2021-05-28,3610.767,3622.18,3582.358,3600.784,34920883000
2021-05-31,3600.07,3615.657,3580.652,3615.477,33152377000
2021-06-01,3608.598,3626.074,3581.912,3624.714,35281141300
2021-06-02,3626.328,3629.29,3584.596,3597.138,34855842000
2021-06-03,3595.422,3618.507,3584.205,3584.212,35423303100
2021-06-04,3565.472,3618.8,3561.891,3591.845,33089303800
2021-06-07,3597.141,3600.376,3581.899,3599.541,30371867700
2021-06-08,3598.753,3621.523,3563.25,3580.106,30449147000
2021-06-09,3576.802,3598.708,3572.636,3591.397,29832329600
2021-06-10,3587.528,3624.343,3584.133,3610.859,31817480800
2021-06-11,3614.113,3614.404,3587.149,3589.748,36055497000
2021-06-15,3587.466,3592.947,3547.187,3556.559,34916856600
2021-06-16,3556.714,3561.092,3513.559,3518.329,31259730600
2021-06-17,3508.317,3534.198,3507.354,3525.604,27722991800
2021-06-18,3520.497,3535.622,3503.183,3525.097,29670858500
2021-06-21,3515.501,3540.296,3504.008,3529.183,28089827700
2021-06-22,3539.788,3560.195,3536.812,3557.412,30753639900
2021-06-23,3559.399,3577.466,3549.848,3566.22,31070951800
2021-06-24,3568.576,3570.487,3548.816,3566.654,33544075400
2021-06-25,3567.377,3614.298,3564.52,3607.562,34608783200
2021-06-28,3612.247,3614.357,3594.217,3606.372,32127497400
2021-06-29,3601.677,3601.827,3570.525,3573.178,30607117800
2021-06-30,3572.624,3594.119,3569.501,3591.197,26816281800
2021-07-01,3600.546,3607.705,3573.937,3588.782,29188319200
